"square","caliblat","Longitude","Latitude","caliblat.1","julian","year","block","block_nobuf","buffsqs"
3603,94.7202987152577,-0.750286179592276,53.2801680273325,94.7202987152577,1,2014,1,1,0
3606,94.7645614810893,0.1483688535846,53.3050658331127,94.7645614810893,1,2014,1,1,0
3607,94.7766417236392,0.448195184622765,53.311860969547,94.7766417236392,1,2014,1,1,0
3747,94.3840563138377,-1.03263561563182,53.0910316765337,94.3840563138377,1,2014,1,1,0
3748,94.4013669761937,-0.734643238731585,53.1007689241089,94.4013669761937,1,2014,1,1,0
3749,94.4173527567221,-0.436484820822393,53.1097609256562,94.4173527567221,1,2014,1,1,0
3750,94.4320120502758,-0.138173473772317,53.1180067782801,94.4320120502758,1,2014,1,1,0
3751,94.4453433835274,0.160277647934155,53.1255056532342,94.4453433835274,1,2014,1,1,0
3752,94.4573454154734,0.458855350798962,53.1322567962038,94.4573454154734,1,2014,1,1,0
3757,94.4973784372472,1.95317853864833,53.1547753709516,94.4973784372472,1,2014,1,1,0
3758,94.5013839626075,2.25223694071476,53.1570284789667,94.5013839626075,1,2014,1,1,0
3759,94.5040545375924,2.55132878493332,53.1585306773957,94.5040545375924,1,2014,1,1,0
3890,94.0268808894636,-1.60891959388598,52.8901205003233,94.0268808894636,1,2014,1,1,0
3892,94.0652209569077,-1.01593161503437,52.9116867882606,94.0652209569077,1,2014,1,1,0
3893,94.0824199171711,-0.719166346549143,52.9213612034088,94.0824199171711,1,2014,1,1,0
3894,94.0983025004053,-0.422237386402535,52.930295156478,94.0983025004053,1,2014,1,1,0
3900,94.1658745010866,1.36204721640942,52.9683044068612,94.1658745010866,1,2014,1,1,0
3901,94.1725054058972,1.65975795190544,52.9720342908172,94.1725054058972,1,2014,1,1,0
3902,94.1778109278319,1.9575279888952,52.9750186469054,94.1778109278319,1,2014,1,1,0
3903,94.1817905349606,2.25534416639809,52.9772571759153,94.1817905349606,1,2014,1,1,0
3904,94.1844438281764,2.5531933105912,52.9787496533492,94.1844438281764,1,2014,1,1,0
3905,94.1857705413325,2.85106223847207,52.9794959294995,94.1857705413325,1,2014,1,1,0
3906,94.1857705413325,3.14893776152792,52.9794959294995,94.1857705413325,1,2014,1,1,0
4033,93.6649730701551,-2.17974115563685,52.6865473519623,93.6649730701551,1,2014,1,1,0
4034,93.6872748200838,-1.88496220731427,52.6990920862971,93.6872748200838,1,2014,1,1,0
4035,93.7082761569869,-1.58997135481266,52.7109053383051,93.7082761569869,1,2014,1,1,0
4036,93.7279750090895,-1.29478114956759,52.7219859426128,93.7279750090895,1,2014,1,1,0
4037,93.7463694307176,-0.999404197061039,52.7323328047786,93.7463694307176,1,2014,1,1,0
4038,93.763457602946,-0.703853153515635,52.7419449016571,93.763457602946,1,2014,1,1,0
4041,93.806868347677,0.183717270432709,52.7663634455683,93.806868347677,1,2014,1,1,0
4042,93.8187158884147,0.479837218754029,52.7730276872333,93.8187158884147,1,2014,1,1,0
4043,93.8292500061576,0.776067333988221,52.7789531284636,93.8292500061576,1,2014,1,1,0
4044,93.8384696537641,1.07239472674308,52.7841391802423,93.8384696537641,1,2014,1,1,0
4045,93.8463739142097,1.36880648090032,52.7885853267429,93.8463739142097,1,2014,1,1,0
4046,93.8529620008966,1.6652896571412,52.7922911255043,93.8529620008966,1,2014,1,1,0
4047,93.8582332579194,1.9618312964883,52.7952562075796,93.8582332579194,1,2014,1,1,0
4048,93.8621871602871,2.2584184238611,52.7974802776615,93.8621871602871,1,2014,1,1,0
4049,93.8648233141009,2.55503805164284,52.7989631141817,93.8648233141009,1,2014,1,1,0
4050,93.8661414566872,2.85167718325596,52.7997045693866,93.8661414566872,1,2014,1,1,0
4051,93.8661414566872,3.14832281674402,52.7997045693866,93.8661414566872,1,2014,1,1,0
4052,93.8648233141009,3.44496194835715,52.7989631141817,93.8648233141009,1,2014,1,1,0
4053,93.8621871602871,3.74158157613888,52.7974802776615,93.8621871602871,1,2014,1,1,0
4178,93.3466282234203,-2.15860785672299,52.5074783756739,93.3466282234203,1,2014,1,1,0
4179,93.3687868471394,-1.86501964068974,52.5199426015159,93.3687868471394,1,2014,1,1,0
4180,93.3896533291789,-1.57122247736398,52.5316799976631,93.3896533291789,1,2014,1,1,0
4181,93.409225624407,-1.27722874583737,52.5426894137289,93.409225624407,1,2014,1,1,0
4182,93.4275018122015,-0.983050877980026,52.5529697693634,93.4275018122015,1,2014,1,1,0
4183,93.4444800970834,-0.688701355210642,52.5625200546094,93.4444800970834,1,2014,1,1,0
4184,93.4601588093109,-0.394192705231474,52.5713393302374,93.4601588093109,1,2014,1,1,0
4185,93.4745364054334,-0.0995374987307884,52.5794267280563,93.4745364054334,1,2014,1,1,0
4186,93.4876114688037,0.195251653944909,52.5867814512021,93.4876114688037,1,2014,1,1,0
4187,93.49938271005,0.490162106146424,52.5934027744031,93.49938271005,1,2014,1,1,0
4188,93.5098489675052,0.785181178302773,52.5992900442217,93.5098489675052,1,2014,1,1,0
4189,93.5190092075951,1.08029616132505,52.6044426792723,93.5190092075951,1,2014,1,1,0
4190,93.5268625251834,1.37549432003082,52.6088601704157,93.5268625251834,1,2014,1,1,0
4191,93.5334081438749,1.67076289658659,52.6125420809296,93.5334081438749,1,2014,1,1,0
4192,93.5386454162751,1.96608911396606,52.6154880466548,93.5386454162751,1,2014,1,1,0
4193,93.542573824208,2.26146017942157,52.617697776117,93.542573824208,1,2014,1,1,0
4194,93.545192978889,2.55686328796648,52.619171050625,93.545192978889,1,2014,1,1,0
4195,93.5465026210559,2.85228562586599,52.6199077243439,93.5465026210559,1,2014,1,1,0
4196,93.5465026210559,3.14771437413399,52.6199077243439,93.5465026210559,1,2014,1,1,0
4197,93.545192978889,3.4431367120335,52.619171050625,93.545192978889,1,2014,1,1,0
4198,93.542573824208,3.73853982057842,52.617697776117,93.542573824208,1,2014,1,1,0
4323,93.0282631500208,-2.13769583778688,52.3283980218867,93.0282631500208,1,2014,1,1,0
4324,93.0502797980521,-1.84528603049647,52.3407823864043,93.0502797980521,1,2014,1,1,0
4325,93.0710125106881,-1.55267017679165,52.3524445372621,93.0710125106881,1,2014,1,1,0
4326,93.0904592689715,-1.25986048662139,52.3633833387965,93.0904592689715,1,2014,1,1,0
4327,93.1086181768897,-0.966869221480769,52.3735977245004,93.1086181768897,1,2014,1,1,0
4328,93.1254874619954,-0.673708691254763,52.3830866973724,93.1254874619954,1,2014,1,1,0
4329,93.1410654759884,-0.380391251028188,52.3918493302435,93.1410654759884,1,2014,1,1,0
4330,93.1553506952562,-0.0869292978640728,52.3998847660816,93.1553506952562,1,2014,1,1,0
4331,93.1683417213769,0.206664732447135,52.4071922182745,93.1683417213769,1,2014,1,1,0
4332,93.1800372815792,0.500378368665253,52.4137709708883,93.1800372815792,1,2014,1,1,0
4333,93.1904362291637,0.794199107402547,52.4196203789046,93.1904362291637,1,2014,1,1,0
4334,93.1995375438821,1.08811441644813,52.4247398684337,93.1995375438821,1,2014,1,1,0
4335,93.2073403322746,1.38211173811219,52.4291289369045,93.2073403322746,1,2014,1,1,0
4336,93.2138438279669,1.67617849258778,52.4327871532314,93.2138438279669,1,2014,1,1,0
4337,93.2190473919241,1.97030208132772,52.4357141579573,93.2190473919241,1,2014,1,1,0
4338,93.2229505126631,2.26446989043443,52.437909663373,93.2229505126631,1,2014,1,1,0
4339,93.2255528064227,2.5586692940602,52.4393734536128,93.2255528064227,1,2014,1,1,0
4340,93.2268540172911,2.8528876578157,52.4401053847263,93.2268540172911,1,2014,1,1,0
4341,93.2268540172911,3.14711234218428,52.4401053847263,93.2268540172911,1,2014,1,1,0
4342,93.2255528064227,3.44133070593978,52.4393734536128,93.2255528064227,1,2014,1,1,0
4468,92.7098779849832,-2.11700202989594,52.149306366553,92.7098779849832,1,2014,1,1,0
4469,92.7317537912492,-1.82575847564725,52.1616115075777,92.7317537912492,1,2014,1,1,0
4470,92.7523538042593,-1.53431172116021,52.1731990148958,92.7523538042593,1,2014,1,1,0
4471,92.7716760307714,-1.24267381036952,52.1840677673089,92.7716760307714,1,2014,1,1,0
4472,92.7897185989512,-0.950856837557967,52.19421671191,92.7897185989512,1,2014,1,1,0
4473,92.8064797589786,-0.658872944271959,52.2036448644255,92.8064797589786,1,2014,1,1,0
4474,92.8219578836172,-0.366734316204319,52.2123513095347,92.8219578836172,1,2014,1,1,0
4475,92.8361514687438,-0.0744531800465351,52.2203352011684,92.8361514687438,1,2014,1,1,0
4476,92.8490591338395,0.217958199687193,52.2275957627847,92.8490591338395,1,2014,1,1,0
4477,92.8606796224412,0.51048752386192,52.2341322876232,92.8606796224412,1,2014,1,1,0
4478,92.8710118025523,0.803122461947611,52.2399441389357,92.8710118025523,1,2014,1,1,0
4479,92.8800546670146,1.09585065526629,52.2450307501957,92.8800546670146,1,2014,1,1,0
4480,92.8878073338385,1.38865972025837,52.2493916252842,92.8878073338385,1,2014,1,1,0
4481,92.8942690464929,1.68153725176593,52.2530263386522,92.8942690464929,1,2014,1,1,0
4482,92.899439174154,1.9744708263307,52.2559345354616,92.899439174154,1,2014,1,1,0
4483,92.9033172119135,2.26744800550446,52.2581159317013,92.9033172119135,1,2014,1,1,0
4484,92.9059027809441,2.56045633916954,52.259570314281,92.9059027809441,1,2014,1,1,0
4485,92.907195628625,2.85348336886739,52.2602975411016,92.907195628625,1,2014,1,1,0
4486,92.907195628625,3.14651663113259,52.2602975411016,92.907195628625,1,2014,1,1,0
4612,92.3684711516334,-2.38640047776442,51.9572650227938,92.3684711516334,1,2014,1,1,0
4613,92.3914728608874,-2.09652342191748,51.9702034842492,92.3914728608874,1,2014,1,1,0
4614,92.4132089430185,-1.80643412976252,51.9824300304479,92.4132089430185,1,2014,1,1,0
4615,92.4336773107872,-1.5161444301133,51.9939434873178,92.4336773107872,1,2014,1,1,0
4616,92.4528759962192,-1.22566620394772,52.0047427478733,92.4528759962192,1,2014,1,1,0
4617,92.4708031512361,-0.93501138142702,52.0148267725703,92.4708031512361,1,2014,1,1,0
4618,92.4874570482496,-0.644191938881125,52.0241945896404,92.4874570482496,1,2014,1,1,0
4619,92.5028360807188,-0.353219895762279,52.0328452954043,92.5028360807188,1,2014,1,1,0
4620,92.5169387636681,-0.0621073115691633,52.0407780545633,92.5169387636681,1,2014,1,1,0
4621,92.5297637341679,0.229133717256268,52.0479921004695,92.5297637341679,1,2014,1,1,0
4622,92.5413097517765,0.520491060457116,52.0544867353743,92.5413097517765,1,2014,1,1,0
4623,92.551575698942,0.811952557112804,52.0602613306549,92.551575698942,1,2014,1,1,0
4624,92.560560581366,1.10350601881109,52.0653153270184,92.560560581366,1,2014,1,1,0
4625,92.568263528327,1.39513923283869,52.0696482346839,92.568263528327,1,2014,1,1,0
4626,92.5746837929638,1.68683996538826,52.0732596335421,92.5746837929638,1,2014,1,1,0
4627,92.5798207525192,1.97859596477959,52.0761491732921,92.5798207525192,1,2014,1,1,0
4628,92.5836739085434,2.27039496469284,52.0783165735557,92.5836739085434,1,2014,1,1,0
4629,92.5862428870563,2.56222468741156,52.0797616239692,92.5862428870563,1,2014,1,1,0
4630,92.5875274386699,2.85407284707347,52.0804841842518,92.5875274386699,1,2014,1,1,0
4757,92.0501928114063,-2.364994581465,51.778233456416,92.0501928114063,1,2014,1,1,0
4758,92.0730479079336,-2.07625705917873,51.7910894482127,92.0730479079336,1,2014,1,1,0
4759,92.0946453675675,-1.78731019990023,51.8032380192567,92.0946453675675,1,2014,1,1,0
4760,92.1149831293705,-1.49816567367437,51.8146780102709,92.1149831293705,1,2014,1,1,0
4761,92.1340592501981,-1.20883520151076,51.8254083282364,92.1340592501981,1,2014,1,1,0
4762,92.1518719053157,-0.919330552469795,51.8354279467401,92.1518719053157,1,2014,1,1,0
4763,92.1684193889805,-0.629663540715916,51.8447359063015,92.1684193889805,1,2014,1,1,0
4764,92.1837001149868,-0.33984602254018,51.8533313146801,92.1837001149868,1,2014,1,1,0
4765,92.197712617173,-0.0498898933543076,51.8612133471598,92.197712617173,1,2014,1,1,0
4766,92.2104555498921,0.240192915341708,51.8683812468143,92.2104555498921,1,2014,1,1,0
4767,92.2219276884438,0.530390439016304,51.8748343247496,92.2219276884438,1,2014,1,1,0
4768,92.2321279294685,0.820690683185258,51.880571960326,92.2321279294685,1,2014,1,1,0
4769,92.2410552913027,1.11108162651067,51.8855936013578,92.2410552913027,1,2014,1,1,0
4770,92.2487089142957,1.40155122391796,51.8898987642913,92.2487089142957,1,2014,1,1,0
4771,92.2550880610868,1.69208740972863,51.8934870343613,92.2550880610868,1,2014,1,1,0
4772,92.2601921168441,1.98267810080693,51.8963580657248,92.2601921168441,1,2014,1,1,0
4773,92.2640205894629,2.27331119971793,51.8985115815729,92.2640205894629,1,2014,1,1,0
4774,92.2665731097252,2.56397459789537,51.8999473742204,92.2665731097252,1,2014,1,1,0
4775,92.2678494314193,2.85465617881665,51.9006653051733,92.2678494314193,1,2014,1,1,0
4903,91.754603254007,-2.05620004216401,51.6119643303789,91.754603254007,1,2014,1,1,0
4904,91.7760631770812,-1.76838394532081,51.6240355371082,91.7760631770812,1,2014,1,1,0
4905,91.7962713573622,-1.48037287108068,51.6354026385163,91.7962713573622,1,2014,1,1,0
4906,91.8152258761071,-1.19217838340631,51.6460645553102,91.8152258761071,1,2014,1,1,0
4907,91.8329249315221,-0.903812093209788,51.6560202739812,91.8329249315221,1,2014,1,1,0
4908,91.8493668393326,-0.615285655471921,51.6652688471246,91.8493668393326,1,2014,1,1,0
4909,91.8645500333159,-0.32661076633193,51.6738093937402,91.8645500333159,1,2014,1,1,0
4910,91.8784730657983,-0.0377991601495021,51.6816410995116,91.8784730657983,1,2014,1,1,0
4911,91.8911346081158,0.251137393458733,51.6887632170651,91.8911346081158,1,2014,1,1,0
4912,91.902533451036,0.54018709260625,51.6951750662078,91.902533451036,1,2014,1,1,0
4913,91.9126685051451,0.82933810614516,51.7008760341441,91.9126685051451,1,2014,1,1,0
4914,91.9215388011944,1.11857857669418,51.7058655756719,91.9215388011944,1,2014,1,1,0
4915,91.9291434904113,1.40789662368399,51.7101432133564,91.9291434904113,1,2014,1,1,0
4916,91.9354818447702,1.69728034641795,51.7137085376832,91.9354818447702,1,2014,1,1,0
4917,91.9405532572261,1.9867178271461,51.7165612071897,91.9405532572261,1,2014,1,1,0
4918,91.9443572419091,2.27619713415041,51.7187009485739,91.9443572419091,1,2014,1,1,0
4919,91.9468934342801,2.56570632483925,51.7201275567826,91.9468934342801,1,2014,1,1,0
5047,91.4135737289858,-2.32284267542608,51.4201352225545,91.4135737289858,1,2014,1,1,0
5048,91.4361390247408,-2.03634952524781,51.4328282014167,91.4361390247408,1,2014,1,1,0
5049,91.4574624817791,-1.7496526762863,51.4448226460008,91.4574624817791,1,2014,1,1,0
5050,91.4775420904204,-1.46276348964955,51.4561174258615,91.4775420904204,1,2014,1,1,0
5051,91.4963759559051,-1.17569337510937,51.4667114751966,91.4963759559051,1,2014,1,1,0
5052,91.5139622989868,-0.888453788315702,51.4766037931801,91.5139622989868,1,2014,1,1,0
5053,91.5302994564895,-0.601056227980313,51.4857934442754,91.5302994564895,1,2014,1,1,0
5054,91.54538588183,-0.313512233031786,51.4942795585294,91.54538588183,1,2014,1,1,0
5055,91.5592201455038,-0.0258333797437247,51.5020613318459,91.5592201455038,1,2014,1,1,0
5056,91.5718009355364,0.26196872116174,51.5091380262392,91.5718009355364,1,2014,1,1,0
5057,91.5831270578969,0.549882427433252,51.515508970067,91.5831270578969,1,2014,1,1,0
5058,91.5931974368753,0.8378960682303,51.5211735582424,91.5931974368753,1,2014,1,1,0
5059,91.6020111154236,1.12599794708211,51.5261312524258,91.6020111154236,1,2014,1,1,0
5060,91.6095672554588,1.41417634486338,51.5303815811956,91.6095672554588,1,2014,1,1,0
5061,91.6158651381285,1.70241952278483,51.5339241401973,91.6158651381285,1,2014,1,1,0
5062,91.6209041640397,1.99071572539666,51.5367585922723,91.6209041640397,1,2014,1,1,0
5063,91.6246838534491,2.27905318360289,51.5388846675651,91.6246838534491,1,2014,1,1,0
5064,91.6272038464154,2.56742011768458,51.5403021636087,91.6272038464154,1,2014,1,1,0
5191,91.0715792611106,-2.58726660766303,51.2277633343747,91.0715792611106,1,2014,1,1,0
5192,91.0952332680875,-2.30209072057301,51.2410687132992,91.0952332680875,1,2014,1,1,0
5193,91.117655343578,-2.01670271546259,51.2536811307626,91.117655343578,1,2014,1,1,0
5194,91.1388433899695,-1.73111375289247,51.2655994068578,91.1388433899695,1,2014,1,1,0
5195,91.1587954225563,-1.44533504367586,51.2768224251879,91.1587954225563,1,2014,1,1,0
5196,91.1775095701538,-1.15937784618608,51.2873491332115,91.1775095701538,1,2014,1,1,0
5197,91.1949840756775,-0.873253463632535,51.2971785425686,91.1949840756775,1,2014,1,1,0
5198,91.2112172966897,-0.586973241307103,51.3063097293879,91.2112172966897,1,2014,1,1,0
5199,91.2262077059098,-0.300548563802585,51.3147418345743,91.2262077059098,1,2014,1,1,0
5200,91.2399538916917,-0.0139908522053703,51.3224740640766,91.2399538916917,1,2014,1,1,0
5201,91.2524545584639,0.272688438735891,51.3295056891359,91.2524545584639,1,2014,1,1,0
5202,91.2637085271353,0.559477823463646,51.3358360465136,91.2637085271353,1,2014,1,1,0
5203,91.2737147354649,0.846365788484926,51.341464538699,91.2737147354649,1,2014,1,1,0
5204,91.282472238395,1.13334079526304,51.3463906340972,91.282472238395,1,2014,1,1,0
5205,91.289980208348,1.42039128312557,51.3506138671957,91.289980208348,1,2014,1,1,0
5206,91.296237935487,1.70750567218672,51.3541338387114,91.296237935487,1,2014,1,1,0
5207,91.3012448279389,1.99467236628214,51.3569502157156,91.3012448279389,1,2014,1,1,0
5208,91.3050004119813,2.28187975591429,51.3590627317395,91.3050004119813,1,2014,1,1,0
5335,90.7286420324724,-2.84950013017676,51.0348611432657,90.7286420324724,1,2014,1,1,0
5336,90.7533682168645,-2.56563563266113,51.0487696219863,90.7533682168645,1,2014,1,1,0
5337,90.776872377519,-2.28155089224273,51.0619907123544,90.776872377519,1,2014,1,1,0
5338,90.7991523318304,-1.99725687130023,51.0745231866546,90.7991523318304,1,2014,1,1,0
5339,90.8202060081027,-1.7127645839329,51.0863658795578,90.8202060081027,1,2014,1,1,0
5340,90.8400314461823,-1.4280850933597,51.0975176884775,90.8400314461823,1,2014,1,1,0
5341,90.8586267980592,-1.14322950928594,51.1079775739083,90.8586267980592,1,2014,1,1,0
5342,90.875990328435,-0.858208985239313,51.1177445597447,90.875990328435,1,2014,1,1,0
5343,90.8921204152571,-0.573034715877178,51.1268177335821,90.8921204152571,1,2014,1,1,0
5344,90.9070155502196,-0.287717934266917,51.1351962469985,90.9070155502196,1,2014,1,1,0
5345,90.9206743392295,-0.00226990914125987,51.1428793158166,90.9206743392295,1,2014,1,1,0
5346,90.9330955028388,0.283298057869587,51.1498662203468,90.9330955028388,1,2014,1,1,0
5347,90.9442778766411,0.568974635027161,51.1561563056106,90.9442778766411,1,2014,1,1,0
5348,90.9542204116338,0.854748463293428,51.161748981544,90.9542204116338,1,2014,1,1,0
5349,90.9629221745442,1.14060815915711,51.1666437231811,90.9629221745442,1,2014,1,1,0
5350,90.9703823481207,1.4265423174758,51.1708400708179,90.9703823481207,1,2014,1,1,0
5351,90.9766002313868,1.71253951433191,51.1743376301551,90.9766002313868,1,2014,1,1,0
5352,90.9815752398607,1.99858830990084,51.1771360724217,90.9815752398607,1,2014,1,1,0
5480,90.4105658984934,-2.82701215110377,50.8559433179025,90.4105658984934,1,2014,1,1,0
5481,90.4351357365667,-2.54422490916866,50.8697638518188,90.4351357365667,1,2014,1,1,0
5482,90.4584911919131,-2.26122035275391,50.8829012954511,90.4584911919131,1,2014,1,1,0
5483,90.4806301087373,-1.97800930154618,50.8953544361647,90.4806301087373,1,2014,1,1,0
5484,90.5015504408236,-1.69460262579399,50.9071221229633,90.5015504408236,1,2014,1,1,0
5485,90.5212502521572,-1.41101124376331,50.9182032668384,90.5212502521572,1,2014,1,1,0
5486,90.5397277175122,-1.12724611916165,50.9285968411006,90.5397277175122,1,2014,1,1,0
5487,90.5569811230079,-0.84331825853259,50.9383018816919,90.5569811230079,1,2014,1,1,0
5488,90.5730088666324,-0.559238708622357,50.9473174874807,90.5730088666324,1,2014,1,1,0
5489,90.5878094587327,-0.275018553720456,50.9556428205372,90.5878094587327,1,2014,1,1,0
5490,90.6013815224718,0.00933108702401059,50.9632771063904,90.6013815224718,1,2014,1,1,0
5491,90.613723794251,0.293799062308471,50.9702196342662,90.613723794251,1,2014,1,1,0
5492,90.6248351240994,0.578374191403668,50.9764697573059,90.6248351240994,1,2014,1,1,0
5493,90.6347144760275,0.86304526689931,50.9820268927655,90.6347144760275,1,2014,1,1,0
5494,90.6433609283473,1.14780105746679,50.9868905221954,90.6433609283473,1,2014,1,1,0
5495,90.6507736739567,1.43263031063715,50.9910601916007,90.6507736739567,1,2014,1,1,0
5496,90.6569520205893,1.7175217555926,50.9945355115815,90.6569520205893,1,2014,1,1,0
5497,90.6618953910283,2.0024641059696,50.9973161574534,90.6618953910283,1,2014,1,1,0
5624,90.0668480617586,-3.08624794816758,50.6626020347392,90.0668480617586,1,2014,1,1,0
5625,90.0924672954808,-2.80475226177826,50.677012853708,90.0924672954808,1,2014,1,1,0
5626,90.1168819684541,-2.52303150857875,50.6907461072554,90.1168819684541,1,2014,1,1,0
5627,90.1400898436119,-2.24109631619515,50.7038005370317,90.1400898436119,1,2014,1,1,0
5628,90.1620887915213,-1.95895736414498,50.7161749452307,90.1620887915213,1,2014,1,1,0
5629,90.1828767910215,-1.67662538137992,50.7278681949496,90.1828767910215,1,2014,1,1,0
5630,90.2024519298317,-1.39411114379636,50.7388792105303,90.2024519298317,1,2014,1,1,0
5631,90.2208124051279,-1.11142547171554,50.7492069778844,90.2208124051279,1,2014,1,1,0
5632,90.2379565240875,-0.828579227334925,50.7588505447992,90.2379565240875,1,2014,1,1,0
5633,90.2538827044019,-0.54558331215266,50.7678090212261,90.2538827044019,1,2014,1,1,0
5634,90.2685894747572,-0.26244866436679,50.7760815795509,90.2685894747572,1,2014,1,1,0
5635,90.282075475281,0.0208137437490269,50.7836674548455,90.282075475281,1,2014,1,1,0
5636,90.2943394579567,0.304192908491525,50.7905659451006,90.2943394579567,1,2014,1,1,0
5637,90.3053802870045,0.587677797393873,50.7967764114401,90.3053802870045,1,2014,1,1,0
5638,90.3151969392283,0.871257351909957,50.8022982783159,90.3151969392283,1,2014,1,1,0
5639,90.3237885043284,1.15492049011521,50.8071310336847,90.3237885043284,1,2014,1,1,0
5640,90.3311541851807,1.43865610942223,50.8112742291641,90.3311541851807,1,2014,1,1,0
5641,90.3372932980807,1.72245308930941,50.8147274801704,90.3372932980807,1,2014,1,1,0
5768,89.7222361804998,-3.34337047369048,50.4687578515312,89.7222361804998,1,2014,1,1,0
5769,89.7488886544181,-3.06316023314888,50.4837498681102,89.7488886544181,1,2014,1,1,0
5770,89.7743463855262,-2.78271744773673,50.4980698418585,89.7743463855262,1,2014,1,1,0
5771,89.798607058252,-2.50205255541666,50.5117164702667,89.798607058252,1,2014,1,1,0
5772,89.8216684627273,-2.22117604726433,50.5246885102841,89.8216684627273,1,2014,1,1,0
5773,89.8435284954441,-1.94009846509656,50.5369847786873,89.8435284954441,1,2014,1,1,0
5774,89.8641851598793,-1.65883039906668,50.5486041524321,89.8641851598793,1,2014,1,1,0
5775,89.8836365670912,-1.37738248522867,50.5595455689888,89.8836365670912,1,2014,1,1,0
5776,89.9018809362838,-1.09576540307182,50.5698080266597,89.9018809362838,1,2014,1,1,0
5777,89.9189165953406,-0.813989873027526,50.5793905848791,89.9189165953406,1,2014,1,1,0
5778,89.934741981327,-0.532066653950108,50.5882923644964,89.934741981327,1,2014,1,1,0
5779,89.9493556409603,-0.250006540573053,50.5965125480402,89.9493556409603,1,2014,1,1,0
5780,89.9627562310485,0.0321796390574158,50.6040503799648,89.9627562310485,1,2014,1,1,0
5781,89.9749425188955,0.31448102616984,50.6109051668787,89.9749425188955,1,2014,1,1,0
5782,89.9859133826742,0.596886733874423,50.6170762777543,89.9859133826742,1,2014,1,1,0
5783,89.9956678117664,0.879385849787602,50.6225631441186,89.9956678117664,1,2014,1,1,0
5784,90.004204907069,1.16196743867264,50.6273652602263,90.004204907069,1,2014,1,1,0
5785,90.0115238812677,1.44462054509453,50.6314821832131,90.0115238812677,1,2014,1,1,0
5786,90.0176240590759,1.72733419608754,50.6349135332302,90.0176240590759,1,2014,1,1,0
5913,89.4044211425421,-3.31947588887733,50.2899868926799,89.4044211425421,1,2014,1,1,0
5914,89.4309058965603,-3.04030507146364,50.3048845668152,89.4309058965603,1,2014,1,1,0
5915,89.4562033279866,-2.76090474890076,50.3191143719925,89.4562033279866,1,2014,1,1,0
5916,89.4803111492394,-2.48128522615585,50.3326750214472,89.4803111492394,1,2014,1,1,0
5917,89.5032271772008,-2.20145686013906,50.3455652871754,89.5032271772008,1,2014,1,1,0
5918,89.524949333859,-1.92143005738199,50.3577840002957,89.524949333859,1,2014,1,1,0
5919,89.5454756469217,-1.64121527168417,50.3693300513934,89.5454756469217,1,2014,1,1,0
5920,89.564804250399,-1.36082300172948,50.3802023908494,89.564804250399,1,2014,1,1,0
5921,89.5829333851575,-1.08026378867388,50.3904000291511,89.5829333851575,1,2014,1,1,0
5922,89.5998613994428,-0.79954821370632,50.3999220371866,89.5998613994428,1,2014,1,1,0
