"square","caliblat","Longitude","Latitude","caliblat.1","julian","year","block","block_nobuf","buffsqs"
3441,94.5604213575976,-5.84034131772992,53.1902370136487,94.5604213575976,1,2014,1,1,0
3442,94.5991000119695,-5.54437356983949,53.2119937567329,94.5991000119695,1,2014,1,1,0
3580,93.9871332121533,-7.56388580009517,52.8677624318362,93.9871332121533,1,2014,1,1,0
3585,94.2048699866714,-6.09809807215839,52.9902393675027,94.2048699866714,1,2014,1,1,0
3586,94.2445871586791,-5.80370434685331,53.012580276757,94.2445871586791,1,2014,1,1,0
3587,94.2830182489076,-5.50892615564196,53.0341977650105,94.2830182489076,1,2014,1,1,0
3723,93.5775530949614,-8.10163272909474,52.6373736159158,93.5775530949614,1,2014,1,1,0
3724,93.6258496067032,-7.81138889324409,52.6645404037705,93.6258496067032,1,2014,1,1,0
3725,93.6728972697846,-7.52068572843234,52.6910047142538,93.6728972697846,1,2014,1,1,0
3729,93.8485108192723,-6.35350403502181,52.7897873358407,93.8485108192723,1,2014,1,1,0
3730,93.8892487361188,-6.06067338915087,52.8127024140668,93.8892487361188,1,2014,1,1,0
3731,93.9287123779446,-5.76745184487261,52.8349007125938,93.9287123779446,1,2014,1,1,0
3732,93.966897900501,-5.47385117887768,52.8563800690318,93.966897900501,1,2014,1,1,0
3868,93.2638672380705,-8.05663544947263,52.4609253214147,93.2638672380705,1,2014,1,1,0
3869,93.3118583570434,-7.76751117166339,52.4879203258369,93.3118583570434,1,2014,1,1,0
3870,93.3586081631748,-7.47793382725519,52.5142170917858,93.3586081631748,1,2014,1,1,0
3871,93.4041122005048,-7.18791440629928,52.5398131127839,93.4041122005048,1,2014,1,1,0
3872,93.4483661198837,-6.89746401002297,52.5647059424346,93.4483661198837,1,2014,1,1,0
3873,93.4913656803073,-6.606593848738,52.5888931951728,93.4913656803073,1,2014,1,1,0
3874,93.5331067502268,-6.31531523965985,52.6123725470026,93.5331067502268,1,2014,1,1,0
3875,93.573585308835,-6.02363960464039,52.6351417362197,93.573585308835,1,2014,1,1,0
3876,93.6127974473252,-5.73157846781665,52.6571985641204,93.6127974473252,1,2014,1,1,0
4014,92.9978122218072,-7.7240864782,52.3112693747665,92.9978122218072,1,2014,1,1,0
4015,93.0442664997729,-7.43562397398484,52.3373999061223,93.0442664997729,1,2014,1,1,0
4016,93.0894825481695,-7.14672540472548,52.3628339333453,93.0894825481695,1,2014,1,1,0
4017,93.1334560719825,-6.85740173333734,52.3875690404901,93.1334560719825,1,2014,1,1,0
4018,93.1761828831351,-6.56766402938615,52.4116028717635,93.1761828831351,1,2014,1,1,0
4019,93.2176589017726,-6.27752346694512,52.4349331322471,93.2176589017726,1,2014,1,1,0
4020,93.2578801575213,-5.98699132236846,52.4575575886057,93.2578801575213,1,2014,1,1,0
4021,93.2968427907219,-5.69607897198362,52.479474069781,93.2968427907219,1,2014,1,1,0
4159,92.6837118297048,-7.68110866755132,52.1345879042089,92.6837118297048,1,2014,1,1,0
4160,92.7298728759132,-7.39375015873117,52.1605534927012,92.7298728759132,1,2014,1,1,0
4161,92.7748031795658,-7.10596148612931,52.1858267885058,92.7748031795658,1,2014,1,1,0
4162,92.8184984988711,-6.81775347660905,52.210405405615,92.8184984988711,1,2014,1,1,0
4163,92.8609546977849,-6.52913706131388,52.234287017504,92.8609546977849,1,2014,1,1,0
4164,92.9021677472692,-6.24012327356186,52.2574693578389,92.9021677472692,1,2014,1,1,0
4165,92.9421337265253,-5.9507232466592,52.2799502211705,92.9421337265253,1,2014,1,1,0
4166,92.9808488242017,-5.66094821163528,52.3017274636135,92.9808488242017,1,2014,1,1,0
4167,93.0183093395761,-5.37080949490163,52.3227990035115,93.0183093395761,1,2014,1,1,0
4303,92.3224687046188,-7.92440197237303,51.9313886463481,92.3224687046188,1,2014,1,1,0
4304,92.3695577980277,-7.6385717067458,51.9578762613906,92.3695577980277,1,2014,1,1,0
4305,92.4154278770791,-7.35230648176027,51.983678180857,92.4154278770791,1,2014,1,1,0
4306,92.4600746489932,-7.0656168864842,52.0087919900587,92.4600746489932,1,2014,1,1,0
4307,92.5034939243088,-6.77851361394559,52.0332153324237,92.5034939243088,1,2014,1,1,0
4308,92.5456816181393,-6.49100745914445,52.0569459102034,92.5456816181393,1,2014,1,1,0
4309,92.5866337514053,-6.2031093169839,52.0799814851655,92.5866337514053,1,2014,1,1,0
4310,92.6263464520434,-5.91483018012308,52.1023198792744,92.6263464520434,1,2014,1,1,0
4311,92.6648159561895,-5.62618113675412,52.1239589753566,92.6648159561895,1,2014,1,1,0
4312,92.7020386093361,-5.33717336830554,52.1448967177515,92.7020386093361,1,2014,1,1,0
4313,92.7380108674618,-5.04781814707439,52.1651311129473,92.7380108674618,1,2014,1,1,0
4314,92.7727292981332,-4.7581268337895,52.1846602301999,92.7727292981332,1,2014,1,1,0
4315,92.8061905815771,-4.46811087510814,52.2034822021371,92.8061905815771,1,2014,1,1,0
4318,92.8990000623794,-3.59623082783489,52.2556875350884,92.8990000623794,1,2014,1,1,0
4319,92.9274018482002,-3.30503238156101,52.2716635396126,92.9274018482002,1,2014,1,1,0
4447,91.960557336036,-8.16553693415519,51.7278135015202,91.960557336036,1,2014,1,1,0
4448,92.0085577051678,-7.88122305239134,51.7548137091569,92.0085577051678,1,2014,1,1,0
4449,92.0553507329177,-7.59646967263775,51.7811347872662,92.0553507329177,1,2014,1,1,0
4450,92.1009320781602,-7.31128715102926,51.8067742939651,92.1009320781602,1,2014,1,1,0
4451,92.1452975007042,-7.02568594725427,51.8317298441461,92.1452975007042,1,2014,1,1,0
4452,92.1884428625463,-6.73967662268007,51.8559991101823,92.1884428625463,1,2014,1,1,0
4453,92.2303641291008,-6.45326983839795,51.8795798226192,92.2303641291008,1,2014,1,1,0
4454,92.271057370408,-6.16647635319048,51.9024697708545,92.271057370408,1,2014,1,1,0
