"square","n"
107,1
112,5
113,2
114,20
116,69
117,58
118,13
119,24
120,24
121,21
249,1
255,1
257,NA
258,1
259,73
263,38
264,46
265,22
266,2
402,26
409,6
410,1
541,1
554,67
685,1
686,1
697,1
698,4
699,16
700,9
840,82
841,18
842,11
843,1
979,2
980,57
981,9
987,5
1125,56
1129,42
1130,35
1131,20
1132,11
1133,4
1269,15
1273,24
1274,30
1275,1
1276,13
1413,3
1416,30
1417,16
1418,6
1419,91
1420,7
1422,67
1423,171
1424,42
1425,2
1558,50
1559,46
1561,19
1562,4
1563,259
1564,28
1565,8
1566,24
1567,34
1568,25
1570,2
1695,8
1697,8
1707,1
1709,NA
1710,65
1712,10
1715,34
1839,1
1842,NA
1843,NA
1844,36
1845,7
1846,1
1851,65
1852,89
1853,34
1855,68
1984,14
1985,NA
1986,35
1987,28
1988,NA
1989,27
1990,4
1991,30
1995,88
1996,96
1997,2
1999,15
2001,20
2005,22
2006,13
2129,26
2130,NA
2131,56
2132,21
2133,1
2134,2
2135,5
2136,22
2137,10
2138,1
2139,4
2140,12
2141,49
2144,5
2149,19
2150,3
2151,7
2275,14
2276,21
2277,42
2278,45
2279,2
2281,1
2282,1
2283,1
2286,1
2289,60
2290,22
2291,26
2295,22
2296,19
2414,21
2416,14
2418,23
2419,16
2420,4
2421,1
2424,3
2425,1
2426,1
2427,1
2428,1
2434,41
2435,12
2437,1
2440,28
2441,30
2442,35
2560,5
2561,19
2564,NA
2566,22
2569,2
2570,4
2572,2
2585,2
2586,1
2587,7
2588,3
2705,32
2706,9
2708,2
2712,55
2713,15
2715,1
2725,32
2727,11
2755,80
2856,3
2868,88
2869,189
2870,32
2871,4
2872,10
2878,1
2879,9
2996,9
2997,5
2999,2
3009,51
3016,3
3018,1
3019,4
3020,8
3024,10
3025,24
3045,150
3138,10
3139,10
3143,18
3163,39
3164,42
3166,5
3167,3
3168,39
3169,29
3170,48
3171,35
3283,3
3287,82
3292,28
3295,NA
3301,26
3304,160
3305,35
3306,6
3308,28
3309,4
3310,22
3311,14
3312,2
3313,128
3314,9
3315,8
3316,3
3317,73
3430,NA
3434,24
3446,48
3448,25
3449,30
3451,19
3456,8
3457,2
3458,2
3459,2
3460,1
